iter	Passed	Remaining
0	8	17394
1	12	12695
2	18	12246
3	22	11326
4	28	11200
5	36	12017
6	39	11169
7	41	10420
8	44	9838
9	47	9401
10	49	8910
11	52	8655
12	54	8342
13	57	8149
14	60	7999
15	62	7729
16	66	7710
17	67	7403
18	69	7213
19	71	7051
20	73	6935
21	76	6899
22	79	6872
23	82	6770
24	85	6732
25	88	6701
26	91	6681
27	96	6803
28	98	6721
29	103	6769
30	105	6728
31	108	6702
32	111	6657
33	113	6574
34	116	6525
35	118	6448
36	120	6417
37	122	6314
38	124	6257
39	128	6282
40	130	6226
41	132	6163
42	135	6158
43	137	6109
44	139	6081
45	141	5991
46	142	5931
47	143	5845
48	145	5801
49	147	5757
50	149	5728
51	151	5681
52	154	5675
53	156	5652
54	158	5614
55	160	5570
56	163	5557
57	165	5536
58	167	5506
59	170	5519
60	172	5485
61	175	5490
62	178	5473
63	179	5437
64	184	5479
65	187	5494
66	192	5560
67	194	5526
68	196	5501
69	199	5493
70	204	5551
71	207	5550
72	209	5533
73	212	5540
74	215	5537
75	217	5517
76	219	5478
77	221	5470
78	226	5500
79	228	5483
80	235	5583
81	240	5624
82	242	5597
83	245	5603
84	248	5590
85	251	5593
86	254	5595
87	257	5587
88	260	5601
89	262	5573
90	264	5556
91	272	5641
92	275	5658
93	279	5658
94	280	5632
95	284	5635
96	287	5638
97	290	5633
98	292	5625
99	295	5620
100	298	5611
101	302	5631
102	305	5620
103	307	5602
104	310	5605
105	312	5588
106	314	5560
107	318	5579
108	322	5586
109	323	5552
110	325	5532
111	327	5514
112	330	5511
113	331	5491
114	336	5516
115	339	5511
116	341	5503
117	344	5493
118	349	5517
119	350	5489
120	352	5479
121	355	5477
122	357	5459
123	361	5465
124	363	5458
125	365	5442
126	369	5451
127	372	5445
128	374	5434
129	377	5429
130	379	5413
131	383	5433
132	391	5496
133	393	5477
134	395	5470
135	398	5456
136	401	5458
137	404	5462
138	407	5449
139	409	5434
140	412	5443
141	414	5427
142	416	5404
143	420	5417
144	422	5402
145	425	5397
146	426	5378
147	429	5375
148	432	5367
149	434	5363
150	436	5339
151	438	5329
152	441	5324
153	443	5312
154	446	5318
155	449	5310
156	452	5316
157	456	5316
158	458	5304
159	460	5296
160	463	5291
161	465	5281
162	467	5272
163	470	5267
164	472	5255
165	474	5241
166	478	5251
167	480	5239
168	484	5253
169	488	5253
170	491	5253
171	497	5284
172	500	5288
173	504	5297
174	507	5289
175	510	5290
176	513	5289
177	517	5300
178	522	5316
179	525	5312
180	529	5318
181	531	5312
182	535	5312
183	537	5301
184	541	5310
185	544	5306
186	546	5296
187	548	5291
188	553	5307
189	557	5311
190	559	5303
191	562	5299
192	566	5302
193	569	5299
194	571	5292
195	574	5292
196	577	5287
197	580	5280
198	584	5293
199	586	5279
200	589	5278
201	592	5273
202	595	5268
203	598	5266
204	600	5256
205	603	5258
206	605	5245
207	608	5238
208	611	5237
209	613	5230
210	617	5232
211	620	5229
212	624	5236
213	626	5225
214	630	5234
215	632	5223
216	634	5213
217	636	5203
218	638	5194
219	640	5182
220	643	5179
221	646	5176
222	648	5169
223	652	5175
224	654	5163
225	659	5177
226	661	5165
227	664	5162
228	666	5155
229	668	5142
230	670	5135
231	672	5124
232	674	5114
233	676	5103
234	678	5097
235	682	5099
236	685	5099
237	688	5095
238	690	5090
239	692	5080
240	695	5072
241	697	5067
242	700	5064
243	702	5056
244	704	5046
245	708	5048
246	710	5042
247	713	5040
248	715	5032
