iter	Passed	Remaining
0	65	32873
1	71	17811
2	76	12658
3	82	10286
4	86	8571
5	90	7413
6	91	6450
7	94	5803
8	97	5322
9	104	5098
10	109	4883
11	113	4607
12	118	4449
13	123	4283
14	127	4131
15	132	3994
16	135	3851
17	140	3753
18	145	3674
19	147	3537
20	153	3489
21	155	3369
22	158	3277
23	162	3213
24	166	3158
25	169	3081
26	171	2999
27	176	2977
28	180	2926
29	184	2885
30	187	2843
31	190	2786
32	194	2750
33	197	2702
34	199	2653
35	202	2606
36	205	2576
37	209	2552
38	213	2527
39	219	2526
40	221	2483
41	226	2474
42	231	2463
43	234	2429
44	237	2399
45	240	2373
46	242	2339
47	245	2310
48	246	2272
49	249	2245
50	252	2220
51	254	2195
52	256	2166
53	260	2152
54	263	2129
55	266	2112
56	270	2105
57	275	2096
58	276	2066
59	278	2042
60	282	2032
61	285	2015
62	290	2015
63	292	1993
64	295	1974
65	298	1963
66	302	1956
67	305	1941
68	309	1932
69	312	1922
70	315	1906
71	318	1891
72	320	1874
73	322	1857
74	324	1837
75	327	1826
76	332	1827
77	334	1809
78	338	1803
79	342	1798
80	347	1796
81	348	1778
82	354	1781
83	359	1778
84	360	1759
85	362	1744
86	365	1732
87	368	1723
88	369	1706
89	371	1693
90	374	1682
91	375	1663
92	377	1652
93	381	1649
94	385	1641
95	388	1635
96	392	1631
97	396	1627
98	399	1619
99	403	1614
100	406	1606
101	411	1604
102	414	1596
103	417	1590
104	420	1582
105	424	1577
106	427	1571
107	429	1560
108	431	1548
109	433	1538
110	436	1530
111	440	1526
112	443	1520
113	447	1514
114	450	1506
115	452	1498
116	456	1493
117	458	1485
118	462	1481
119	465	1473
120	469	1471
121	473	1465
122	473	1451
123	477	1447
124	479	1438
125	480	1426
126	484	1421
127	487	1415
128	491	1414
129	494	1406
130	500	1410
131	503	1404
132	505	1396
133	509	1392
134	514	1389
135	517	1386
136	522	1383
137	525	1379
138	528	1372
139	530	1364
140	533	1358
141	536	1353
142	540	1350
143	543	1343
144	545	1335
145	551	1336
146	553	1329
147	558	1328
148	561	1321
149	563	1315
150	567	1311
151	570	1306
152	574	1302
153	580	1303
154	582	1297
155	585	1292
156	588	1284
157	590	1277
158	594	1274
159	598	1272
160	601	1267
161	603	1260
162	606	1254
163	609	1249
164	614	1247
165	617	1242
166	620	1236
167	623	1232
168	628	1230
169	631	1226
170	634	1220
171	638	1217
172	641	1212
173	644	1208
174	649	1206
175	652	1201
176	657	1200
177	660	1195
178	664	1192
179	666	1185
180	671	1184
181	674	1178
182	678	1175
183	681	1170
184	685	1166
185	690	1165
186	694	1162
187	698	1158
188	701	1153
189	703	1147
190	707	1144
191	710	1139
192	713	1135
193	717	1131
194	721	1129
195	723	1122
196	726	1116
197	728	1111
198	731	1106
199	735	1103
200	738	1097
201	741	1094
202	744	1089
203	748	1085
204	751	1081
205	755	1077
206	758	1073
207	762	1070
208	765	1065
209	768	1061
210	772	1057
211	774	1051
212	777	1047
213	780	1043
214	783	1038
215	785	1033
216	790	1030
217	794	1027
218	798	1024
219	800	1018
220	803	1015
221	807	1011
222	809	1006
223	812	1001
224	815	996
225	820	994
226	822	989
227	826	986
228	830	982
229	835	980
230	838	975
231	841	972
232	844	967
233	847	963
234	850	959
235	853	954
236	856	950
237	858	945
238	861	940
239	864	936
240	867	932
241	871	928
242	874	924
243	876	919
244	879	915
245	882	911
246	884	906
247	889	903
248	892	899
249	895	895
250	899	891
251	902	888
252	905	883
253	909	880
254	912	877
255	917	874
256	920	870
257	924	867
258	927	863
259	930	859
260	934	855
261	939	853
262	942	849
263	946	846
264	951	843
265	953	839
266	956	834
267	959	830
268	962	826
269	968	825
270	972	821
271	975	817
272	978	813
273	982	810
274	986	806
275	989	803
276	992	799
277	996	795
278	1000	792
279	1004	788
280	1006	784
281	1009	780
282	1012	776
283	1015	772
284	1018	768
285	1020	763
286	1024	760
287	1026	755
288	1030	752
289	1033	748
290	1037	744
291	1039	740
292	1042	736
293	1045	732
294	1047	727
295	1050	723
296	1053	720
297	1056	716
298	1059	712
299	1061	707
300	1065	704
301	1069	701
302	1073	697
303	1075	693
304	1080	690
305	1084	687
306	1089	685
307	1094	682
308	1099	679
309	1103	676
310	1107	673
311	1110	669
312	1114	665
313	1118	662
314	1122	659
315	1125	655
316	1130	652
317	1132	648
318	1137	645
319	1139	640
320	1141	636
321	1144	632
322	1147	628
323	1150	624
324	1153	621
325	1156	617
326	1159	613
327	1162	609
328	1167	606
329	1170	602
330	1174	599
331	1177	595
332	1179	591
333	1183	587
334	1185	583
335	1188	580
336	1191	576
337	1196	573
338	1198	569
339	1201	565
340	1203	561
341	1207	557
342	1210	554
343	1213	550
344	1216	546
345	1220	543
346	1222	539
347	1225	535
348	1229	532
349	1232	528
350	1236	524
351	1242	522
352	1246	518
353	1248	514
354	1251	511
355	1255	507
