iter	Passed	Remaining
0	3	1580
1	5	1313
2	8	1335
3	11	1398
4	14	1450
5	16	1373
6	20	1440
7	22	1386
8	25	1396
9	28	1416
10	31	1380
11	34	1415
12	37	1410
13	40	1411
14	43	1397
15	45	1386
16	51	1464
17	53	1422
18	55	1406
19	56	1362
20	59	1360
21	63	1379
22	66	1378
23	69	1375
24	71	1367
25	75	1368
26	78	1375
27	80	1364
28	83	1349
29	86	1348
30	88	1332
31	92	1347
32	93	1327
33	97	1339
34	98	1310
35	100	1291
36	103	1291
37	105	1288
38	109	1297
39	112	1289
40	115	1288
41	117	1283
42	120	1285
43	123	1284
44	127	1285
45	131	1301
46	136	1313
47	138	1302
48	141	1300
49	143	1291
50	145	1283
51	148	1281
52	151	1280
53	153	1271
54	157	1273
55	163	1298
56	168	1308
57	170	1298
58	172	1292
59	178	1305
60	182	1310
61	187	1324
62	193	1345
63	196	1337
64	199	1334
65	201	1326
66	203	1317
67	207	1317
68	209	1310
69	213	1311
70	215	1304
71	221	1314
72	224	1313
73	228	1314
74	232	1315
75	235	1311
76	239	1316
77	241	1306
78	246	1311
79	248	1305
80	251	1300
81	253	1294
82	257	1292
83	260	1289
84	262	1281
85	266	1283
86	270	1282
87	272	1276
88	274	1268
89	277	1265
90	279	1257
91	283	1258
92	286	1251
93	288	1247
94	291	1241
95	292	1232
96	295	1226
97	297	1222
98	302	1224
99	305	1220
100	308	1218
101	312	1217
102	316	1218
103	319	1217
104	321	1210
105	324	1206
106	327	1203
107	334	1215
108	337	1210
109	343	1217
110	348	1220
111	351	1218
112	356	1219
113	358	1215
114	363	1215
115	365	1211
116	368	1207
117	370	1198
118	373	1196
119	375	1187
120	379	1188
121	381	1182
122	384	1177
123	387	1174
124	390	1170
125	393	1166
126	395	1161
127	398	1157
128	400	1152
129	403	1147
130	405	1142
131	408	1139
132	413	1140
133	417	1139
134	420	1136
135	423	1134
136	426	1130
137	430	1128
138	433	1126
139	437	1123
140	439	1119
141	441	1113
142	444	1108
143	446	1104
144	448	1099
145	452	1096
146	454	1092
147	456	1085
148	459	1082
149	462	1078
150	467	1080
151	473	1084
152	478	1084
153	479	1077
154	482	1074
155	484	1068
156	488	1067
157	493	1067
