iter	Passed	Remaining
0	59	29846
1	71	17927
2	88	14673
3	109	13524
4	121	12076
5	131	10820
6	138	9762
7	143	8828
8	146	8006
9	149	7346
10	150	6707
11	153	6227
12	155	5842
13	159	5542
14	162	5266
15	165	5015
16	168	4780
17	170	4569
18	174	4415
19	177	4259
20	180	4106
21	182	3958
22	186	3863
23	188	3738
24	191	3643
25	197	3599
26	200	3512
27	204	3441
28	210	3413
29	214	3356
30	216	3281
31	219	3209
32	224	3176
33	226	3109
34	233	3097
35	235	3039
36	238	2983
37	241	2935
38	244	2895
39	247	2843
40	250	2800
41	253	2767
42	256	2727
43	258	2683
44	261	2643
45	263	2600
46	265	2555
47	267	2515
48	270	2492
49	273	2465
50	276	2435
51	278	2400
52	281	2375
53	284	2350
54	289	2338
55	290	2306
56	293	2284
57	296	2259
58	298	2232
59	301	2214
60	305	2195
61	308	2177
62	310	2152
63	311	2124
64	314	2102
65	319	2102
66	323	2091
67	325	2070
68	329	2055
69	331	2035
70	334	2019
71	336	2002
72	338	1978
73	340	1959
74	341	1935
75	343	1917
76	345	1899
77	346	1876
78	349	1863
79	353	1855
80	355	1838
81	358	1826
82	360	1813
83	363	1797
84	365	1784
85	369	1777
86	371	1762
87	373	1749
88	376	1736
89	377	1721
90	379	1706
91	381	1692
92	384	1682
93	387	1674
94	389	1661
95	392	1649
96	394	1640
97	398	1633
98	401	1625
99	403	1614
100	405	1603
101	408	1594
102	412	1590
103	415	1581
104	417	1569
105	419	1558
106	423	1553
107	426	1547
108	429	1541
109	433	1538
110	437	1534
111	441	1528
112	448	1536
113	452	1530
114	455	1523
115	456	1511
116	458	1501
117	466	1511
118	469	1504
119	472	1495
120	473	1482
121	478	1481
122	480	1472
123	482	1463
124	485	1456
125	487	1447
126	491	1444
127	495	1439
128	497	1432
129	500	1423
130	502	1415
131	504	1406
132	508	1402
133	510	1395
134	513	1389
135	515	1380
136	518	1373
137	520	1365
138	523	1359
139	525	1352
140	528	1346
141	531	1340
142	533	1332
143	537	1330
144	540	1324
145	544	1319
146	546	1311
147	548	1303
148	550	1296
149	557	1301
150	561	1297
151	565	1294
152	572	1297
153	576	1295
154	579	1290
155	582	1284
156	586	1280
157	588	1273
158	590	1267
159	593	1260
160	595	1254
161	597	1246
162	600	1240
163	605	1241
164	609	1236
165	611	1230
166	613	1224
167	617	1221
168	621	1216
169	623	1210
170	625	1203
171	628	1198
172	630	1192
173	632	1185
174	636	1182
175	640	1179
176	643	1174
177	647	1170
178	649	1165
179	653	1160
180	655	1155
181	658	1150
182	661	1145
183	664	1141
184	668	1137
185	671	1133
186	674	1129
187	677	1124
188	681	1122
189	685	1117
190	688	1113
191	691	1109
192	694	1104
193	699	1103
194	703	1099
195	705	1093
196	707	1088
197	709	1082
198	711	1076
199	715	1073
200	719	1070
201	722	1065
202	725	1061
203	727	1056
204	730	1051
205	733	1046
206	735	1041
207	737	1035
208	741	1031
209	744	1027
210	746	1022
211	749	1017
